Feature,Importance
OSF,0.16704048
Torque [Nm],0.1668114
Temp_diff,0.16661413
PWF,0.16390751
Rotational speed [rpm],0.15627846
Process temperature [K],0.15625313
HDF,0.15574569
Type_encoded,0.15228999
Tool wear [min],0.14733052
Air temperature [K],0.14481473
